Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R34,470,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,82.55,50.478001,0.0,top
R35,4.7,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,84.328,47.176002,-90.0,top
R36,4.7,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,82.296,47.176002,-90.0,top
R37,4.7,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,80.264,47.176002,-90.0,top
R38,4.7,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,78.232,47.176002,-90.0,top
R39,4.7,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,76.2,47.176002,-90.0,top
R40,470,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,78.74,50.478001,0.0,top
R41,470,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,57.934099,78.867001,0.0,top
R42,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,54.743098,50.442175,0.0,top
R43,470,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,62.379098,50.442175,0.0,top
R44,470,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,58.569098,50.442175,0.0,top
R45,4.7,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,64.157098,47.140175,-90.0,top
R46,4.7,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,62.125098,47.156175,-90.0,top
R47,4.7,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,60.093098,47.140175,-90.0,top
R48,4.7,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,58.061098,47.140175,-90.0,top
R49,4.7,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,56.029098,47.140175,-90.0,top
R50,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,53.997098,47.140175,-90.0,top
R51,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,153.543,76.835,-90.0,top
R52,470,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,123.064099,78.867001,180.0,top
R53,470,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,119.254099,78.867001,0.0,top
R54,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,116.063098,50.478001,0.0,top
R55,470,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,123.699098,50.478001,0.0,top
R56,470,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,119.889098,50.478001,0.0,top
R57,4.7,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,125.477098,47.176001,-90.0,top
R58,4.7,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,123.445098,47.176001,-90.0,top
R59,4.7,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,121.413098,47.176001,-90.0,top
R60,4.7,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,119.381098,47.176001,-90.0,top
R61,4.7,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,117.349098,47.176001,-90.0,top
R62,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,115.317098,47.176001,-90.0,top
R63,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,150.749,76.835,-90.0,top
R64,470,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,102.236099,78.867001,180.0,top
R65,470,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,98.426099,78.867001,0.0,top
R66,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,95.234,50.478,0.0,top
R67,470,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,102.871099,50.476901,0.0,top
R68,470,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,99.061099,50.476901,0.0,top
R69,4.7,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,104.648,47.176,-90.0,top
R70,4.7,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,102.616,47.176,-90.0,top
