Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,97.272,27.008826,90.0,top
C2,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,89.027,13.716,-90.0,top
C3,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,4.308,35.941,-90.0,top
C4,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,83.937,32.596826,180.0,top
C5,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,83.937,34.628826,180.0,top
C6,22pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,96.383,23.960826,0.0,top
C7,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,78.476,46.437326,90.0,top
C9,10uF 50V,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,38.977901,32.547826,0.0,top
C10,10uF 35V,CP_EIA-6032-15_Kemet-U_Pad2.25x2.35mm_HandSolder,35.431902,11.465826,180.0,top
C11,10uF 50V,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,22.468999,32.512,0.0,top
C12,10uF 35V,CP_EIA-6032-15_Kemet-U_Pad2.25x2.35mm_HandSolder,18.923,11.43,180.0,top
C14,10uF 50V,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,71.998999,32.547826,0.0,top
C15,10uF 35V,CP_EIA-6032-15_Kemet-U_Pad2.25x2.35mm_HandSolder,68.453,11.465826,180.0,top
C17,10uF 50V,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,55.487901,32.547825,0.0,top
C18,10uF 35V,CP_EIA-6032-15_Kemet-U_Pad2.25x2.35mm_HandSolder,51.941902,11.465825,180.0,top
C19,22pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,11.674,24.511,-90.0,top
C20,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,101.463,35.263826,0.0,top
C26,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,101.463,37.295826,0.0,top
C27,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,101.463,39.327826,0.0,top
C28,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,101.463,41.359826,0.0,top
C29,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,98.288,41.486826,90.0,top
C30,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,96.256,41.486826,-90.0,top
C31,22pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,4.054,28.321,90.0,top
C33,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,11.166,36.195,0.0,top
C34,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,5.842,42.672,0.0,top
D1,OVC,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,9.515,46.966826,180.0,top
D2,US1M,D_SMA,43.051902,11.465826,0.0,top
D3,US1M,D_SMA,26.543,11.43,0.0,top
D4,US1M,D_SMA,76.073,11.465826,0.0,top
D5,US1M,D_SMA,59.561902,11.465825,0.0,top
D6,Z5V6,D_MiniMELF_Handsoldering,86.36,10.922,-90.0,top
D7,STATUS,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,83.937,30.202826,180.0,top
D10,1N4148W,D_SOD-123,47.233,42.521826,0.0,top
D11,1N4148W,D_SOD-123,63.744,42.521826,0.0,top
D12,1N4148W,D_SOD-123,14.468,42.521826,0.0,top
D13,1N4148W,D_SOD-123,30.724,42.521826,0.0,top
D15,1N4148W,D_SOD-123,5.578,21.463,0.0,top
D16,1N4148W,D_SOD-123,10.404,21.463,0.0,top
D17,1N4148W,D_SOD-123,5.578,19.05,0.0,top
D18,1N4148W,D_SOD-123,10.404,19.05,0.0,top
D19,1N4148W,D_SOD-123,11.801,28.829,-90.0,top
DATA1,C2.54_01x05_Pin,PinHeader_1x05_P2.54mm_Vertical,97.412672,4.293328,-90.0,top
EGS1,Conn_01x17_Pin,PinHeader_1x17_P2.54mm_Vertical,49.134275,4.294545,-90.0,top
FB1, 600Ω@100MHz,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,93.589,41.486826,90.0,top
LCD12832,C2.54_01x08_Pin,PinHeader_1x08_P2.54mm_Vertical,93.574,47.347826,90.0,top
Q1,2N7002,SOT-23,48.25,45.823826,90.0,top
